NUTS, Total Population
PL432,628855
PL514,652116
PL515,556592
PL516,448666
PL517,641879
PL518,621292
PL523,368002
PL524,614345
PL613,779297
PL616,389240
PL617,361882
PL618,189368
PL619,355669
PL621,523392
PL622,612809
PL623,287842
PL633,760064
PL634,621034
PL636,336718
PL637,228893
PL638,434346
PL711,672475
PL712,392621
PL713,581392
PL714,444933
PL715,357332
PL721,755544
PL722,472774
PL811,298284
PL812,613748
PL814,717992
PL815,473605
PL821,480441
PL822,388020
PL823,656274
PL824,614957
PL841,519869
PL842,390742
PL843,270328
PL911,1821804
PL912,666261
PL913,670870
PL921,607196
PL922,339423
PL923,326696
PL924,385281
PL925,419788
PL926,260171
PT111,227233
PT112,402306
PT119,407546
PT11A,1723276
PT11B,84705
PT11C,410321
PT11D,188304
PT11E,105397
PT150,436568
PT16B,365123
PT16D,369553
PT16E,436087
PT16F,288121
PT16G,253107
PT16H,79658
PT16I,233587
PT16J,210671
PT170,2867658
PT181,92585
PT184,114102
PT185,235276
PT186,101572
PT187,149273
PT200,241036
PT300,253006
RO111,550579
RO112,272880
RO113,703230
RO114,448925
RO115,325231
RO116,206593
RO121,316620
RO122,547485
RO123,197513
RO124,295195
RO125,522582
RO126,395729
RO211,567689
RO212,366384
RO213,787297
RO214,426695
RO215,612730
RO216,363188
RO221,276043
RO222,397728
RO223,659822
RO224,488354
RO225,186952
RO226,310005
RO311,559373
RO312,273987
RO313,476783
RO314,257621
RO315,248489
RO316,693087
RO317,319272
RO321,1800823
RO322,503525
RO411,607794
RO412,303451
RO413,233205
RO414,380478
RO415,341527
RO421,407813
RO422,262447
RO423,367805
RO424,698115
RS001,5003140
RS002,1826745
RU110,1550692
RU120,1182084
RU130,988272
RU140,1028017
RU150,627810
RU160,1095925
RU170,1126178
RU180,721917
RU190,1097484
RU1A0,920153
RU1B0,991899
RU1C0,1448962
RU1D0,1244085
RU1E0,1338341
RU1F0,2315123
RU1G0,1241447
RU1H3,12799012
RU1H4,7880510
RU220,1152780
RU230,1042609
RU240,732733
RU250,592911
RU260,620402
RU270,610111
RU280,812549
RU2A1,5447333
RU2A2,1939674
RU2B0,1127093
RU310,5762849
RU330,1001211
RU340,2478338
RU350,4204315
RU360,475307
RU390,270949
RU410,3180830
RU420,1288324
RU430,2386955
RU440,1217681
RU450,679716
RU460,779582
RU470,1212799
RU480,4052581
RU490,3936437
RU4A0,1502679
RU4B0,1248743
RU4C0,1947181
RU4F0,3169603
RU4G0,2587172
RU820,2814938
RU870,3198565
RU880,882156
RU8A0,696442
RU8B0,470163
RU8C0,1539202
RU8D0,532277
SE110,2429450
SE121,398211
SE122,303447
SE123,471894
SE124,308070
SE125,280364
SE211,368796
SE212,204282
SE213,248279
SE214,61453
SE221,159383
SE224,1410649
SE231,342337
SE232,1753300
SE311,284148
SE312,289473
SE313,288716
SE321,244821
SE322,132727
SE331,275809
SE332,250471
SI031,114650
SI032,329360
SI033,70870
SI034,259798
SI035,57083
SI036,76140
SI037,146941
SI038,53579
SI041,557528
SI042,212173
SI043,118798
SI044,119196
SK010,727731
SK021,567832
SK022,575818
SK023,676044
SK031,692435
SK032,623199
SK041,811242
SK042,783647
SM000,34759
TR100,15848462
TR211,1114835
TR212,411461
TR213,365897
TR221,1248187
TR222,557924
TR310,4416389
TR321,1132688
TR322,1049241
TR323,1021001
TR331,1452893
TR332,742908
TR333,577092
TR334,372562
TR411,3144778
TR412,896953
TR413,228631
TR421,2032479
TR422,1060274
TR423,400503
TR424,319787
TR425,291379
TR510,5741781
TR521,2273854
TR522,258611
TR611,2622489
TR612,445073
TR613,273860
TR621,2256867
TR622,1888515
TR631,1667110
TR632,1168041
TR633,551924
TR711,274685
TR712,428622
TR713,362816
TR714,307482
TR715,242157
TR721,1431737
TR722,634130
TR723,417082
TR811,587580
TR812,249361
TR813,201483
TR821,374278
TR822,196514
TR823,218007
TR831,1369207
TR832,601359
TR833,524036
TR834,334239
TR901,814805
TR902,758372
TR903,448937
TR904,344760
TR905,169010
TR906,150314
TRA11,754278
TRA12,237038
TRA13,85152
TRA21,521393
TRA22,279616
TRA23,202790
TRA24,94448
TRB11,806499
TRB12,586237
TRB13,282412
TRB14,83409
TRB21,1136150
TRB22,403070
TRB23,351349
TRB24,276992
TRC11,2128090
TRC12,630089
TRC13,145826
TRC21,2140407
TRC22,1786865
TRC31,861226
TRC32,625237
TRC33,546191
TRC34,331061
UA013,2933429
UA014,1783604
UA021,884765
UA022,1343181
UA023,1220974
UA024,2462293
UA025,1134485
UA026,1015182
UA027,1499866
UA028,1014827
UA029,1236521
UA02A,1171495
UA031,953183
UA032,0
UA033,2582348
UA034,0
UA035,1343639
UA036,1029151
UA042,1153324
UA043,3076692
UA044,995196
UA045,897935
UA046,1084842
UA047,2336361
UA048,1627989
UA049,0
UA04A,0
VA000,1071
XK000,1764307
